chemical_name,inchi,chebi_identifier,var1_levels,treatment,sample_size,sample_mean,unit,sem
geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",CHEBI:17447,NT,NT,08-Dec,12.4,µg per g of fresh weight,4.1
geranial,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",CHEBI:16980,NT,NT,08-Dec,1.5,µg per g of fresh weight,0.7
geranyl acetate,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",CHEBI:5331,NT,NT,08-Dec,1.4,µg per g of fresh weight,0.4
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",CHEBI:29452,NT,NT,08-Dec,0.3,µg per g of fresh weight,0.1
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",CHEBI:29020,NT,NT,08-Dec,0,µg per g of fresh weight,0
citronellol,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",CHEBI:50462,NT,NT,08-Dec,0.5,µg per g of fresh weight,0.2
citronellal,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",CHEBI:47856,NT,NT,08-Dec,0.3,µg per g of fresh weight,0.1
linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CHEBI:17580,NT,NT,08-Dec,0.1,µg per g of fresh weight,0
limonene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",CHEBI:15384,NT,NT,08-Dec,0.7,µg per g of fresh weight,0.3
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",CHEBI:17221,NT,NT,08-Dec,0.1,µg per g of fresh weight,0
ß-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",CHEBI:50025,NT,NT,08-Dec,0.1,µg per g of fresh weight,0.1
α-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",CHEBI:36740,NT,NT,08-Dec,0.1,µg per g of fresh weight,0
ß-elemene,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1",CHEBI:62854,NT,NT,08-Dec,0.1,µg per g of fresh weight,0
ß-caryophyllene,,CHEBI:63191,NT,NT,08-Dec,0,µg per g of fresh weight,0
α-humulene,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3",CHEBI:49311,NT,NT,08-Dec,0.3,µg per g of fresh weight,0.2
α-muurolene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h6,9-10,13-15H,5,7-8H2,1-4H3/t13-,14+,15-/m0/s1",CHEBI:64797,NT,NT,08-Dec,0.4,µg per g of fresh weight,0.2
germacrene D,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8+,14-7+",CHEBI:49045,NT,NT,08-Dec,5.2,µg per g of fresh weight,2.5
bicyclogermacrene,"InChI=1S/C15H24/c1-11-6-5-7-12(2)10-14-13(9-8-11)15(14,3)4/h6,10,13-14H,5,7-9H2,1-4H3/b11-6+,12-10+/t13-,14+/m1/s1",CHEBI:63709,NT,NT,08-Dec,0.2,µg per g of fresh weight,0.2
(E)-beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+",CHEBI:10418,NT,NT,08-Dec,0.2,µg per g of fresh weight,0.1
delta-cadinene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3",CHEBI:140564,NT,NT,08-Dec,0.6,µg per g of fresh weight,0.3
Germacrene D-4-ol,"InChI=1S/C15H26O/c1-12(2)14-8-7-13(3)6-5-10-15(4,16)11-9-14/h6,9,11-12,14,16H,5,7-8,10H2,1-4H3/b11-9+,13-6+",chebi:141218,NT,NT,08-Dec,0.7,µg per g of fresh weight,0.2
tau-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15-/m0/s1",CHEBI:138042,NT,NT,08-Dec,0.6,µg per g of fresh weight,0.2
tau-muurolol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14-,15-/m0/s1",,NT,NT,08-Dec,0.3,µg per g of fresh weight,0.1
α-muurolol,"InChI=1S/C15H28O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h10-14,16H,5-9H2,1-4H3/t11-,12+,13+,14+,15+/m0/s1",,NT,NT,08-Dec,0,µg per g of fresh weight,0
alpha-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15+/m0/s1",CHEBI:132905,NT,NT,08-Dec,1.2,µg per g of fresh weight,0.3
"(E,E)-farnesol","InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CHEBI:16619,NT,NT,08-Dec,0,µg per g of fresh weight,0
geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",CHEBI:17447,35S::GUS,35S::GUS,08-Dec,20.4,µg per g of fresh weight,3.9
geranial,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",CHEBI:16980,35S::GUS,35S::GUS,08-Dec,4.1,µg per g of fresh weight,0.9
geranyl acetate,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",CHEBI:5331,35S::GUS,35S::GUS,08-Dec,0.2,µg per g of fresh weight,0.1
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",CHEBI:29452,35S::GUS,35S::GUS,08-Dec,0.1,µg per g of fresh weight,0
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",CHEBI:29020,35S::GUS,35S::GUS,08-Dec,0.1,µg per g of fresh weight,0.1
citronellol,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",CHEBI:50462,35S::GUS,35S::GUS,08-Dec,0.2,µg per g of fresh weight,0.1
citronellal,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",CHEBI:47856,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CHEBI:17580,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
limonene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",CHEBI:15384,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",CHEBI:17221,35S::GUS,35S::GUS,08-Dec,0.2,µg per g of fresh weight,0.1
ß-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",CHEBI:50025,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
α-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",CHEBI:36740,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
ß-elemene,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1",CHEBI:62854,35S::GUS,35S::GUS,08-Dec,0.1,µg per g of fresh weight,0.1
ß-caryophyllene,,CHEBI:63191,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
α-humulene,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3",CHEBI:49311,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
α-muurolene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h6,9-10,13-15H,5,7-8H2,1-4H3/t13-,14+,15-/m0/s1",CHEBI:64797,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
germacrene D,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8+,14-7+",CHEBI:49045,35S::GUS,35S::GUS,08-Dec,4.5,µg per g of fresh weight,1
bicyclogermacrene,"InChI=1S/C15H24/c1-11-6-5-7-12(2)10-14-13(9-8-11)15(14,3)4/h6,10,13-14H,5,7-9H2,1-4H3/b11-6+,12-10+/t13-,14+/m1/s1",CHEBI:63709,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
(E)-beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+",CHEBI:10418,35S::GUS,35S::GUS,08-Dec,0,µg per g of fresh weight,0
delta-cadinene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3",CHEBI:140564,35S::GUS,35S::GUS,08-Dec,0.2,µg per g of fresh weight,0.1
Germacrene D-4-ol,"InChI=1S/C15H26O/c1-12(2)14-8-7-13(3)6-5-10-15(4,16)11-9-14/h6,9,11-12,14,16H,5,7-8,10H2,1-4H3/b11-9+,13-6+",chebi:141218,35S::GUS,35S::GUS,08-Dec,2.1,µg per g of fresh weight,0.4
tau-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15-/m0/s1",CHEBI:138042,35S::GUS,35S::GUS,08-Dec,0.1,µg per g of fresh weight,0.1
tau-muurolol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14-,15-/m0/s1",,35S::GUS,35S::GUS,08-Dec,1,µg per g of fresh weight,0.2
α-muurolol,"InChI=1S/C15H28O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h10-14,16H,5-9H2,1-4H3/t11-,12+,13+,14+,15+/m0/s1",,35S::GUS,35S::GUS,08-Dec,0.1,µg per g of fresh weight,0
alpha-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15+/m0/s1",CHEBI:132905,35S::GUS,35S::GUS,08-Dec,1.1,µg per g of fresh weight,0.2
"(E,E)-farnesol","InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CHEBI:16619,35S::GUS,35S::GUS,08-Dec,0.3,µg per g of fresh weight,0.2
geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",CHEBI:17447,LineA,LineA,08-Dec,0.4,µg per g of fresh weight,0.1
geranial,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",CHEBI:16980,LineA,LineA,08-Dec,0.2,µg per g of fresh weight,0
geranyl acetate,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",CHEBI:5331,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",CHEBI:29452,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",CHEBI:29020,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
citronellol,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",CHEBI:50462,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
citronellal,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",CHEBI:47856,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CHEBI:17580,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
limonene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",CHEBI:15384,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",CHEBI:17221,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
ß-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",CHEBI:50025,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
α-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",CHEBI:36740,LineA,LineA,08-Dec,0,µg per g of fresh weight,0
ß-elemene,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1",CHEBI:62854,LineA,LineA,08-Dec,0.1,µg per g of fresh weight,0
ß-caryophyllene,,CHEBI:63191,LineA,LineA,08-Dec,0.2,µg per g of fresh weight,0
